ticker,sector,industry,earnings_date,currency,curr_price_date,foll_price_date,current_price,following_price,percent_change,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",2017-09-30,USD,2017-10-06,2018-09-07,36.9507,53.4496,0.4465111621701348,88186000000,229234000000,141048000000,141048000000,61344000000,15261000000,11581000000,26842000000,5201000000,-2323000000,5201000000,2323000000,229234000000,-133000000,8200000000,1200000000,64089000000,15738000000,2323000000,48351000000,47567000000,66412000000,67612000000,48351000000,64225000000,2092000000,None,8838000000,14388000000,10157000000,12795000000,6347000000,2723000000,48351000000,-46446000000,-17974000000,7704000000,32900000000,32900000000,None,12769000000,12563000000,None,555000000,28662000000,None,-32345000000,None,-195000000,None,375319000000,128645000000,20289000000,74181000000,4855000000,35673000000,246674000000,33783000000,41293000000,8015000000,2298000000,5717000000,268895000000,194714000000,53892000000,13936000000,18177000000,241272000000,100814000000,44242000000,10384000000,18473000000,11977000000,140458000000,None,112596000000,6496000000,97207000000,219794000000,30551000000,40415000000,134047000000,None,98330000000,35867000000,5126201000
MSFT,Information Technology,Software,2017-06-30,USD,2017-07-07,2018-06-08,65.2018,97.2576,0.49163980135517715,62310000000,96571000000,34261000000,34261000000,29025000000,20020000000,13037000000,35063000000,1387000000,-2222000000,1182000000,2222000000,-674000000,-251000000,6100000000,1700000000,29901000000,4412000000,2222000000,21204000000,24322000000,32123000000,33823000000,25489000000,39507000000,2068000000,None,69711000000,348000000,7800000000,8129000000,925000000,-50000000,21204000000,-46781000000,8408000000,-4963000000,11788000000,11788000000,None,11845000000,11845000000,None,772000000,None,None,-11016000000,None,1153000000,19000000,250312000000,162696000000,7663000000,132981000000,2181000000,19792000000,81235000000,23734000000,24179000000,45228000000,10106000000,35122000000,139004000000,6023000000,125318000000,5103000000,6076000000,162601000000,55745000000,7390000000,26656000000,10121000000,9072000000,117665000000,None,77100000000,1049000000,76073000000,86172000000,7684000000,3549000000,87711000000,None,17769000000,69315000000,7708000000
AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,2017-12-31,USD,2018-01-05,2018-12-07,1229.14,1629.13,0.32542265323722275,51222000000,177265000000,126043000000,111934000000,4106000000,13743000000,22620000000,14949000000,202000000,-848000000,202000000,848000000,247000000,346000000,8800000000,366000000,3802000000,769000000,848000000,3033000000,3534000000,4650000000,5016000000,3033000000,18365000000,0,None,7913000000,3583000000,11478000000,11955000000,-4786000000,3583000000,3033000000,-27084000000,9928000000,None,None,None,None,None,None,None,None,16231000000,None,None,None,1188000000,713000000,131310000000,60197000000,20522000000,30986000000,16047000000,13164000000,74484000000,48866000000,23790000000,16721000000,3371000000,13350000000,22286000000,441000000,10464000000,1329000000,8897000000,103601000000,57883000000,34616000000,6100000000,5900000000,100000000,55156000000,13183000000,24942000000,100000000,24743000000,24942000000,18170000000,20975000000,27709000000,1837000000,8636000000,5000000,484000000
TSLA,Consumer Discretionary,Automobiles,2017-12-31,USD,2018-01-05,2018-12-07,63.316,71.594,0.13074104491755625,2223000000,11759000000,9536000000,7797183000,-1632000000,2477000000,1378000000,3855000000,19686000,-471259000,-259000,471000000,948469000,-125000000,769000000,1636003000,-1930000000,32000000,471259000,-2240578000,-1905000000,-1459000000,177003000,-1962000000,-61000000,248266000,None,639372000,275569000,769300000,3414814000,24635000,179000000,-2241000000,-4196000000,4415000000,511321000,None,230385000,None,None,None,None,400000000,None,52883000,481789000,None,-25302000,39455000,28655372000,6570520000,3368000000,3367914000,2263537000,515381000,11620758000,10027522000,1723794000,421739000,361502000,60237000,None,456652000,155323000,423688000,273123000,23022980000,7674670000,2390250000,2193052000,799849000,3300000,13083289000,1801010000,8828985000,796549000,None,8832285000,130565000,2442970000,4237242000,None,-4974299000,169000,168797000
GOOGL,Communication Services,Interactive Media & Services,2017-12-31,USD,2018-01-05,2018-12-07,1110.29,1046.58,-0.05738140485819024,65272000000,110855000000,45583000000,45583000000,26178000000,19765000000,16625000000,36390000000,None,-109000000,1312000000,109000000,-121000000,158000000,None,6915000000,27193000000,14531000000,109000000,12506000000,14072000000,27302000000,24393000000,12662000000,37091000000,84000000,None,6012000000,5932000000,6915000000,13184000000,3768000000,None,12506000000,-31401000000,-8298000000,None,4846000000,4846000000,None,0,None,None,None,None,None,-4846000000,None,-2203000000,405000000,197295000000,124308000000,10715000000,101871000000,749000000,18705000000,72987000000,42383000000,17264000000,19439000000,2692000000,16747000000,104357000000,13713000000,91156000000,2983000000,2672000000,44793000000,24183000000,3137000000,1772000000,0,0,20180000000,26000000,4026000000,3969000000,3943000000,4026000000,19614000000,3059000000,152502000000,None,113247000000,40247000000,694783000
GOOG,Communication Services,Interactive Media & Services,2017-12-31,USD,2018-01-05,2018-12-07,1102.23,1036.58,-0.05956107164566387,65272000000,110855000000,45583000000,45583000000,26178000000,19765000000,16625000000,36390000000,None,-109000000,1312000000,109000000,-121000000,158000000,None,6915000000,27193000000,14531000000,109000000,12506000000,14072000000,27302000000,24393000000,12662000000,37091000000,84000000,None,6012000000,5932000000,6915000000,13184000000,3768000000,None,12506000000,-31401000000,-8298000000,None,4846000000,4846000000,None,0,None,None,None,None,None,-4846000000,None,-2203000000,405000000,197295000000,124308000000,10715000000,101871000000,749000000,18705000000,72987000000,42383000000,17264000000,19439000000,2692000000,16747000000,104357000000,13713000000,91156000000,2983000000,2672000000,44793000000,24183000000,3137000000,1772000000,0,0,20180000000,26000000,4026000000,3969000000,3943000000,4026000000,19614000000,3059000000,152502000000,None,113247000000,40247000000,694783000
NVDA,Information Technology,Semiconductors & Semiconductor Equipment,2018-01-28,USD,2018-02-02,2019-01-04,57.8344,33.8232,-0.41517159337695214,5822000000,9714000000,3892000000,3892000000,3210000000,815000000,1797000000,2612000000,69000000,-61000000,69000000,61000000,-19000000,-22000000,144000000,199000000,3196000000,149000000,80000000,3047000000,3045000000,3257000000,3456000000,3047000000,3502000000,55000000,None,571000000,419000000,201000000,593000000,440000000,0,3047000000,1278000000,-2544000000,None,909000000,909000000,None,341000000,341000000,None,None,0,None,-909000000,None,2236000000,None,11241000000,9255000000,4002000000,7108000000,796000000,1265000000,1986000000,997000000,740000000,670000000,52000000,618000000,3106000000,None,3106000000,319000000,319000000,3770000000,1153000000,596000000,63000000,20000000,15000000,1245000000,None,1985000000,15000000,None,1985000000,542000000,632000000,7471000000,6650000000,8787000000,1000000,606000000
FB,Communication Services,Interactive Media & Services,2017-12-31,USD,2018-01-05,2018-12-07,186.85,137.42,-0.2645437516724646,35199000000,40653000000,5454000000,5454000000,20203000000,7242000000,7754000000,15736000000,398000000,-6000000,398000000,6000000,-6000000,5000000,2330000000,692000000,20594000000,4660000000,6000000,15934000000,16410000000,20600000000,21292000000,15934000000,24216000000,0,None,3439000000,1647000000,3025000000,6733000000,1609000000,None,15934000000,-20118000000,-5235000000,0,1976000000,1976000000,None,None,None,None,None,None,None,-1976000000,None,-824000000,233000000,84524000000,48563000000,8079000000,41711000000,None,5832000000,35961000000,13721000000,4616000000,20105000000,1884000000,18221000000,33632000000,None,33632000000,1020000000,2135000000,10177000000,3760000000,380000000,68000000,None,390000000,6417000000,None,72000000,390000000,None,None,3282000000,6417000000,74347000000,None,33990000000,0,2910000000
TSM,Information Technology,Semiconductors & Semiconductor Equipment,2017-12-31,TWD,2018-01-05,2018-12-07,37.332,33.2926,-0.10820207864566593,494826400000,977442600000,482616200000,482616200000,386657100000,21196700000,80732500000,108169300000,None,6134400000,10200639000,3330300000,None,0,None,260142700000,396161900000,51122900000,None,345039000000,None,399451500000,659594200000,344998300000,585318200000,None,None,None,None,260142700000,335888500000,0,-25229100000,None,-336164900000,-215697600000,None,None,None,None,181512700000,181512700000,None,None,None,None,0,None,0,0,1991732000000,857203100000,553391700000,553391700000,73880700000,None,1134528900000,1062542300000,0,8526500000,8526500000,5648700000,None,41439400000,103185500000,4256800000,4266500000,497285500000,386890200000,None,None,None,63766800000,110395300000,0,91800000000,63766800000,None,155566800000,238986800000,1855600000,1493746800000,0,1205051300000,259303800000,5186076000
UNH,Health Care,Health Care Providers & Services,2017-12-31,USD,2018-01-05,2018-12-07,214.7691,256.1514,0.19268274626098453,145245000000,201159000000,55914000000,24112000000,15209000000,29557000000,None,31802000000,1023000000,-1186000000,-1186000000,1186000000,158453000000,None,799000000,2245000000,13758000000,3200000000,1186000000,10823000000,10572000000,14944000000,17189000000,10558000000,13596000000,129772000000,None,5543000000,1692000000,1695000000,2023000000,1062000000,None,10823000000,-8599000000,-3441000000,-3508000000,1500000000,1500000000,None,2773000000,2773000000,None,688000000,5291000000,None,-812000000,None,1551000000,-5000000,139058000000,37084000000,11981000000,15490000000,None,15830000000,101974000000,7013000000,3694000000,63045000000,8489000000,54556000000,31850000000,28341000000,3509000000,5764000000,3575000000,87036000000,50463000000,None,2269000000,2857000000,2857000000,38956000000,None,36886000000,2857000000,28835000000,31067000000,12286000000,5556000000,52022000000,None,48730000000,10000000,969000000
JNJ,Health Care,Pharmaceuticals,2017-12-31,USD,2018-01-05,2018-12-07,126.5745,133.4143,0.05403774061916102,51011000000,75300000000,51920000000,25439000000,15893000000,21520000000,10962000000,35203000000,385000000,-934000000,385000000,934000000,-216000000,42000000,None,3000000000,17673000000,16373000000,934000000,1300000000,3002000000,18607000000,21607000000,1300000000,21056000000,4272000000,None,11704000000,463000000,5642000000,3279000000,633000000,-581000000,1300000000,-14868000000,-7673000000,-461000000,6358000000,6358000000,None,8943000000,8943000000,None,None,8992000000,None,-6358000000,None,-1148000000,337000000,157303000000,43088000000,17824000000,18296000000,8765000000,13490000000,107636000000,17005000000,24461000000,85134000000,53228000000,31906000000,5310000000,758000000,472000000,2537000000,4971000000,97143000000,30537000000,7310000000,None,3900000000,3906000000,66606000000,None,32174000000,1500000000,30675000000,36080000000,12216000000,9017000000,60160000000,31554000000,101793000000,3120000000,2684800000
V,Information Technology,IT Services,2017-09-30,USD,2017-10-06,2018-09-07,103.7208,140.0809,0.3505574580990507,15820000000,18358000000,2538000000,3248000000,12144000000,1982000000,None,2538000000,105000000,-563000000,-563000000,563000000,-1000000,113000000,None,556000000,11694000000,4995000000,None,6699000000,8035000000,12144000000,12700000000,6699000000,9317000000,489000000,None,435000000,314000000,56000000,707000000,54000000,None,6699000000,735000000,-5924000000,None,6891000000,6891000000,None,1579000000,1579000000,None,None,None,None,149000000,None,4255000000,236000000,67977000000,19023000000,9874000000,13438000000,None,1280000000,50289000000,2253000000,2890000000,42958000000,27848000000,15110000000,5490000000,1926000000,3564000000,3031000000,1226000000,35217000000,9994000000,179000000,None,1749000000,1749000000,2580000000,None,16618000000,1749000000,16618000000,16618000000,8066000000,1321000000,32760000000,0,9508000000,None,2076000000
JPM,Financials,Banks,2017-12-31,USD,2018-01-05,2018-12-07,96.6014,93.7052,-0.029980931953367065,35900000000,100705000000,63724000000,19565000000,-17845000000,46905000000,None,53745000000,7382000000,50097000000,63971000000,13874000000,50608000000,None,None,6179000000,35900000000,11459000000,14275000000,24441000000,25497000000,49774000000,56354000000,24441000000,-10827000000,14153000000,None,-26256000000,93290000000,6179000000,None,-15868000000,None,24441000000,28249000000,14642000000,16540000000,15410000000,15410000000,None,8993000000,8993000000,None,None,56271000000,1258000000,-14152000000,None,40150000000,8086000000,2533600000000,433472000000,431304000000,430121000000,265000000,None,69466000000,14159000000,None,47507000000,6885000000,47507000000,411593000000,575279000000,325321000000,-595119000000,1715256000000,2277907000000,75116000000,None,None,51802000000,51802000000,2400000000,None,284099000000,24186000000,236600000000,335901000000,1839298000000,443345000000,255693000000,42595000000,177676000000,4105000000,3425300000
WMT,Consumer Staples,Food & Staples Retailing,2018-01-31,USD,2018-02-09,2019-01-11,91.7501,89.6464,-0.022928585363939696,126947000000,500343000000,373396000000,373396000000,20437000000,106510000000,None,119746000000,152000000,-2178000000,152000000,2330000000,-3136000000,-3136000000,None,10529000000,14462000000,4600000000,5466000000,9862000000,13913000000,20437000000,27321000000,9862000000,28337000000,8629000000,None,4457000000,444000000,10529000000,10051000000,-1074000000,140000000,10523000000,-9079000000,-19875000000,4148000000,8296000000,8296000000,None,6124000000,6124000000,None,None,7476000000,None,-8296000000,None,-111000000,487000000,204522000000,59664000000,6756000000,6756000000,43783000000,5614000000,137715000000,107675000000,77479000000,18242000000,18242000000,18242000000,None,7614000000,None,3511000000,11798000000,126653000000,78521000000,46092000000,730000000,9662000000,5257000000,36825000000,7447000000,33783000000,3738000000,30045000000,33783000000,20750000000,None,77869000000,None,85107000000,295000000,2956000000
PG,Consumer Staples,Household Products,2017-06-30,USD,2017-07-07,2018-06-08,76.7496,69.8084,-0.09043955929412004,17358000000,65058000000,52182000000,32638000000,13766000000,18654000000,1900000000,16057000000,171000000,-465000000,171000000,465000000,4947000000,-215000000,None,325000000,18389000000,3063000000,1008000000,10194000000,16601000000,18854000000,19179000000,15326000000,12753000000,4627000000,None,-149000000,251000000,2820000000,3384000000,322000000,-71000000,15411000000,-6685000000,-8568000000,2727000000,5204000000,5204000000,None,7236000000,7236000000,None,None,0,None,-2223000000,None,-2529000000,-29000000,120406000000,26494000000,5569000000,5569000000,4624000000,4594000000,93912000000,19893000000,20255000000,68886000000,24187000000,44699000000,9568000000,132000000,9568000000,2139000000,5133000000,64628000000,30210000000,9632000000,None,13554000000,11878000000,870000000,51000000,23072000000,1676000000,18038000000,25358000000,1994000000,8254000000,55778000000,93715000000,96124000000,4009000000,2557900000
XOM,Energy,"Oil, Gas & Consumable Fuels",2017-12-31,USD,2018-01-05,2018-12-07,68.5517,63.8891,-0.06801581871784358,225426000000,244363000000,11736000000,182238000000,211171000000,10649000000,1063000000,14255000000,36000000,-601000000,4779000000,601000000,-93000000,1821000000,None,19893000000,18536000000,-1174000000,601000000,19848000000,25687000000,19137000000,39030000000,19710000000,30066000000,1132000000,None,5104000000,5753000000,19893000000,15402000000,3954000000,1682000000,19848000000,-15730000000,-15130000000,2181000000,747000000,747000000,None,13185000000,13001000000,None,None,60000000,None,-747000000,None,-480000000,314000000,348691000000,47134000000,3177000000,3177000000,16992000000,25597000000,301557000000,252630000000,224555000000,None,None,None,24528000000,24528000000,None,1368000000,9767000000,154191000000,57771000000,28032000000,None,17930000000,13164000000,108348000000,1327000000,9991000000,4766000000,23100000000,23155000000,18140000000,19215000000,187688000000,225246000000,414540000000,14656000000,4239000000
BAC,Financials,Banks,2017-12-31,USD,2018-01-05,2018-12-07,27.6874,23.6471,-0.14592558347840542,29213000000,87126000000,58139000000,16308000000,-15284000000,43123000000,None,44497000000,None,45239000000,57579000000,12340000000,41887000000,None,None,621000000,29213000000,10981000000,12912000000,18232000000,18438000000,41553000000,42174000000,18232000000,9864000000,16149000000,62000000,None,22065000000,2103000000,None,None,None,18232000000,-51541000000,49268000000,8538000000,12814000000,12814000000,0,5700000000,5700000000,None,None,53486000000,0,-12814000000,None,9696000000,2105000000,2281234000000,378222000000,157434000000,366792000000,236000000,None,80510000000,9247000000,None,71263000000,2312000000,68951000000,1079881000000,1184944000000,209358000000,428977000000,998333000000,2014088000000,32666000000,None,None,32666000000,32666000000,183208000000,None,227402000000,32666000000,31786000000,260068000000,1798214000000,176902000000,267146000000,None,113816000000,138089000000,10287302431
HD,Consumer Discretionary,Specialty Retail,2018-01-28,USD,2018-02-02,2019-01-04,175.6546,160.7434,-0.08488932256826738,34356000000,100904000000,66548000000,66548000000,14681000000,17864000000,None,19675000000,None,-1057000000,74000000,1057000000,100904000000,74000000,1983000000,1811000000,13698000000,5068000000,1057000000,8630000000,8931000000,14755000000,16566000000,8630000000,12031000000,5723000000,None,509000000,-137000000,2062000000,1897000000,-139000000,84000000,8630000000,-2228000000,-8870000000,850000000,8000000000,8000000000,None,4212000000,4212000000,None,255000000,2991000000,None,-7745000000,None,933000000,124000000,44529000000,18933000000,3595000000,3595000000,12748000000,1952000000,25715000000,22075000000,19339000000,2275000000,563000000,2275000000,None,None,None,638000000,1246000000,43075000000,16194000000,7244000000,1805000000,2761000000,1559000000,26881000000,None,49235000000,1202000000,None,50794000000,4384000000,2174000000,1454000000,48196000000,39935000000,89000000,1158000000
MA,Information Technology,IT Services,2017-12-31,USD,2018-01-05,2018-12-07,155.5053,193.1855,0.2423081399797948,6483000000,12497000000,5860000000,2687000000,6622000000,5424000000,None,5875000000,56000000,-154000000,-98000000,154000000,None,-2000000,None,436000000,6523000000,2607000000,154000000,3915000000,4343000000,6622000000,7113000000,3916000000,5664000000,2075000000,None,1456000000,1847000000,252000000,423000000,445000000,None,3915000000,-1781000000,-4764000000,None,3762000000,3762000000,None,942000000,942000000,None,None,None,None,-3705000000,None,-788000000,200000000,21329000000,13797000000,5933000000,5933000000,None,1969000000,7586000000,829000000,714000000,4155000000,1120000000,3035000000,1849000000,249000000,1849000000,499000000,2049000000,15761000000,8793000000,None,None,None,24000000,6968000000,None,5400000000,0,5424000000,5424000000,7860000000,1438000000,5468000000,20764000000,22364000000,None,1057000000
CVX,Energy,"Oil, Gas & Consumable Fuels",2017-12-31,USD,2018-01-05,2018-12-07,105.3114,98.7291,-0.06250320478124878,51963000000,141722000000,89759000000,75765000000,28078000000,4110000000,433000000,21690000000,None,-902000000,4015000000,902000000,1954000000,2610000000,None,None,9147000000,-48000000,902000000,13707000000,9449000000,10049000000,9454000000,9195000000,20338000000,4377000000,None,1406000000,1497000000,19349000000,13404000000,1283000000,267000000,9269000000,-8320000000,-14554000000,-5142000000,1000000,1000000,None,8210000000,8132000000,None,None,3991000000,None,1117000000,None,-2175000000,65000000,253806000000,28560000000,4813000000,4822000000,5585000000,15353000000,224606000000,177712000000,166773000000,4531000000,4531000000,4531000000,32519000000,32497000000,9000000,2800000000,7017000000,104487000000,27737000000,14565000000,None,15192000000,5192000000,89978000000,94000000,30234000000,6720000000,33477000000,35426000000,7980000000,None,148124000000,40833000000,174106000000,1832000000,1904702000
PFE,Health Care,Pharmaceuticals,2017-12-31,USD,2018-01-05,2018-12-07,29.8564,36.8461,0.23411060945057002,23926000000,50828000000,26902000000,11228000000,367000000,14804000000,7657000000,23507000000,391000000,-1270000000,391000000,1270000000,-947000000,-1416000000,None,6269000000,12259000000,-9049000000,2269000000,21306000000,23023000000,13529000000,19798000000,21308000000,16802000000,1518000000,None,1425000000,129000000,6269000000,2217000000,-259000000,357000000,21355000000,-4740000000,-13350000000,-125000000,5000000000,5000000000,None,7659000000,7659000000,None,None,5274000000,None,-4138000000,None,-1254000000,53000000,172000000000,41141000000,1342000000,19992000000,7578000000,8221000000,135747000000,13865000000,16172000000,104693000000,48741000000,55952000000,5287000000,7015000000,18650000000,2289000000,3227000000,100141000000,30427000000,4656000000,None,9953000000,6420000000,65814000000,None,33538000000,3546000000,33538000000,6408000000,15831000000,32276000000,71308000000,89425000000,85291000000,464000000,5964000000
ABBV,Health Care,Biotechnology,2017-12-31,USD,2018-01-05,2018-12-07,82.4961,73.7001,-0.1066232221886852,21174000000,28216000000,7042000000,7042000000,9545000000,6295000000,5309000000,13100000000,146000000,-1150000000,146000000,1150000000,-348000000,-466000000,425000000,1076000000,7727000000,2418000000,1150000000,5309000000,5168000000,8877000000,9953000000,5309000000,9960000000,2866000000,None,425000000,416000000,1501000000,529000000,391000000,-93000000,5309000000,-274000000,-5512000000,22000000,1410000000,1410000000,None,4107000000,4107000000,None,None,0,None,-1156000000,None,4203000000,29000000,70786000000,21223000000,9303000000,9789000000,1605000000,2042000000,49563000000,2803000000,5268000000,43344000000,27559000000,15785000000,2528000000,2090000000,486000000,4741000000,1326000000,65689000000,16641000000,1474000000,None,6415000000,400000000,46558000000,None,30953000000,6015000000,None,400000000,8752000000,1241000000,5097000000,11923000000,5459000000,18000000,1596000000
BABA,Consumer Discretionary,Internet & Direct Marketing Retail,2017-03-31,CNY,2017-04-07,2018-03-09,108.99,190.55,0.7483255344527022,98790000000,158273000000,59483000000,59483000000,48055000000,12239000000,17060000000,50735000000,None,5888000000,8559000000,2671000000,None,0,None,5122000000,60029000000,13776000000,None,41226000000,None,60122000000,65244000000,43675000000,80326000000,None,None,None,None,14292000000,17546000000,0,0,None,-79579000000,32914000000,None,None,None,None,0,0,None,None,None,None,-13182000000,None,0,0,506812000000,182516000000,143736000000,143736000000,957000000,None,324296000000,20206000000,0,14108000000,14108000000,125420000000,None,151820000000,7065000000,6125000000,7665000000,185683000000,93771000000,None,None,None,14897000000,91912000000,0,76835000000,14897000000,None,91732000000,47550000000,660000000,278799000000,-2823000000,108558000000,1000000,2573000000
LLY,Health Care,Pharmaceuticals,2017-12-31,USD,2018-01-05,2018-12-07,79.4036,106.79,0.3449012387347678,7856000000,19973800000,15015300000,4447700000,-6370900000,5982400000,5096200000,12037400000,167300000,-225000000,167300000,225000000,0,111100000,681700000,683400000,2187100000,2391200000,225000000,-204100000,-5100000,2412100000,3095500000,-204100000,5615600000,439200000,None,4405900000,1631900000,1567300000,1076800000,-357000000,253900000,-204100000,-3783600000,142600000,1397500000,299800000,299800000,None,2192100000,2192100000,None,None,2232000000,None,-299800000,None,1954100000,-20500000,44981000000,19202100000,6536200000,8034100000,4458300000,4546300000,16952400000,8826500000,9264600000,8399300000,4029200000,4370100000,6174900000,5678800000,1497900000,1447500000,1707900000,33388800000,14535900000,1410700000,None,3706600000,2696800000,18777200000,None,10950300000,1009800000,9940500000,13647100000,2832100000,1546300000,11592200000,75800000,13894100000,687900000,1043692000
ASML,Information Technology,Semiconductors & Semiconductor Equipment,2017-12-31,USD,2018-01-05,2018-12-07,176.0666,154.7647,-0.1209877398666186,4076700000,9052800000,4976100000,4976100000,2496200000,-416000000,1259700000,1580500000,None,-50300000,-50300000,-358741977.76,None,0,None,417500000,2445900000,310700000,None,2135200000,None,2445900000,2863400000,2135200000,1798600000,None,None,None,None,417500000,358000000,0,-237800000,None,-1229000000,-1209100000,None,None,None,None,516700000,516700000,None,None,None,None,-500000000,None,0,0,18196400000,9007000000,2259000000,2259000000,2958400000,None,9189400000,1714500000,0,1166000000,1166000000,4541100000,None,982200000,1029300000,794600000,867600000,7520200000,3341900000,None,None,None,25200000,4178300000,0,3000100000,25200000,None,3025300000,2479400000,0,10676200000,-557900000,7211300000,38800000,431600000
KO,Consumer Staples,Beverages,2017-12-31,USD,2018-01-05,2018-12-07,40.1454,44.2645,0.10260453252427416,22491000000,36212000000,13721000000,13721000000,7755000000,12834000000,None,14970000000,677000000,-841000000,12000000,853000000,151000000,-1763000000,1131000000,68000000,6855000000,5607000000,879000000,1181000000,2148000000,7708000000,7776000000,1248000000,7041000000,2661000000,443000000,3454000000,-75000000,1260000000,1675000000,141000000,276000000,1283000000,-2312000000,-7447000000,None,3682000000,3682000000,None,6320000000,6320000000,None,1595000000,None,None,-2087000000,None,-2549000000,241000000,87896000000,36545000000,6102000000,15358000000,2655000000,3667000000,50292000000,9638000000,8246000000,16530000000,7129000000,13649000000,38646000000,20999000000,9256000000,9548000000,4230000000,70824000000,27194000000,2288000000,None,16229000000,12931000000,41725000000,None,34480000000,3298000000,31182000000,47411000000,8403000000,8021000000,17072000000,50677000000,60430000000,1760000000,4263000000
DIS,Communication Services,Entertainment,2019-09-30,USD,2019-10-11,2020-09-11,129.243,131.75,0.019397568920560535,55523000000,69607000000,14047000000,42018000000,14847000000,11549000000,None,54546000000,None,-1246000000,-543000000,1246000000,-511000000,0,2844000000,1323000000,14080000000,3026000000,1757000000,10441000000,8240000000,15326000000,16649000000,11054000000,19135000000,10401000000,None,-6408000000,-222000000,4167000000,4876000000,-55000000,223000000,11584000000,-4118000000,-1090000000,4318000000,0,0,None,2895000000,2895000000,None,None,38240000000,None,318000000,None,24803000000,-98000000,98598000000,16825000000,4150000000,4150000000,1392000000,9334000000,81773000000,29540000000,30764000000,6812000000,6812000000,31269000000,None,2899000000,1000000,635000000,3365000000,49825000000,17860000000,6503000000,None,None,3790000000,26783000000,None,20874000000,3790000000,17084000000,20874000000,787000000,6590000000,48773000000,67588000000,82679000000,36779000000,1507000000
COST,Consumer Staples,Food & Staples Retailing,2017-09-03,USD,2017-09-08,2018-08-10,147.2548,207.9758,0.41235328152291134,4111000000,129025000000,124914000000,111882000000,4111000000,12950000000,None,13032000000,None,-134000000,-89000000,134000000,129025000000,None,None,1370000000,4004000000,1325000000,134000000,2714000000,2764000000,4138000000,5508000000,2679000000,6726000000,1316000000,None,2258000000,923000000,1370000000,2502000000,None,894000000,2714000000,-2366000000,-3218000000,-236000000,469000000,469000000,None,3904000000,3904000000,None,None,3782000000,None,-469000000,None,1167000000,25000000,36347000000,17317000000,4546000000,5779000000,9834000000,1432000000,19030000000,18161000000,10180000000,None,None,None,None,None,1233000000,272000000,869000000,25268000000,17495000000,9608000000,1498000000,86000000,383000000,7773000000,None,6659000000,86000000,6573000000,6659000000,2725000000,1200000000,10778000000,None,5988000000,4000000,437204000
AVGO,Information Technology,Semiconductors & Semiconductor Equipment,2018-11-04,USD,2018-11-09,2019-10-11,210.0122,256.5454,0.22157379428433188,10733000000,20848000000,10115000000,10115000000,5135000000,1056000000,3768000000,5598000000,None,-628000000,114000000,628000000,20848000000,144000000,515000000,3566000000,4175000000,-8084000000,628000000,12277000000,12251000000,4803000000,8369000000,12259000000,8880000000,677000000,None,-319000000,235000000,4105000000,635000000,652000000,-417000000,12610000000,-4674000000,-11118000000,None,7258000000,7258000000,None,2998000000,2921000000,0,212000000,0,None,-7046000000,None,-6912000000,None,54418000000,15823000000,11204000000,11204000000,1447000000,None,38595000000,2599000000,1493000000,35538000000,10832000000,24706000000,None,None,None,724000000,458000000,31232000000,2529000000,1105000000,None,None,117000000,28703000000,None,17548000000,117000000,17431000000,17548000000,681000000,11272000000,20285000000,None,-129000000,20505000000,408732155
